#casa,#gols_c,#gols_v,#visitante,#pp,#iv,#iv%,#renda_L,#renda_B
Vasco-RJ,2,1,Bahia-BA,12.804,13.856,92,"R$ 28.087,96","R$ 285.695,00"
Chapecoense-SC,1,2,Fluminense-RJ,4.528,4.528,100,"R$ 38.698,91","R$ 101.065,00"
Cruzeiro-MG,2,1,Santos-SP,5.534,5.601,99,"R$ -184.498,74","R$ 78.179,50"
Sport-PE,0,1,Palmeiras-SP,12.254,12.254,100,"R$ 62.833,53","R$ 139.705,00"
Vitória-BA,3,4,Botafogo-RJ,9.481,11.079,86,"R$ 22.517,39","R$ 76.697,00"
Corinthians-SP,1,1,Internacional-RS,26.916,26.916,100,"R$ 705.917,20","R$ 1.149.396,60"
Flamengo-RJ,2,1,Atlético Mineiro-MG,36.018,37.164,97,"R$ 31.679,99","R$ 1.062.984,50"
Athletico Paranaense-PR,3,0,Paraná-PR,12.956,12.956,100,"R$ 60.072,88","R$ 299.815,00"
Grêmio-RS,3,2,Ceará-CE,36.789,36.789,100,"R$ 1.278.260,03","R$ 1.523.542,00"
São Paulo-SP,1,1,América Mineiro-MG,47.846,51.831,92,"R$ 1.459.205,17","R$ 1.906.143,00"
Paraná-PR,1,1,Vasco-RJ,3.21,3.21,100,"R$ 9.968,11","R$ 100.535,00"
Ceará-CE,3,1,Chapecoense-SC,27.485,28.201,98,"R$ 130.347,84","R$ 310.170,00"
Internacional-RS,2,1,Vitória-BA,32.229,32.229,100,"R$ 658.590,83","R$ 921.900,00"
Santos-SP,1,0,Athletico Paranaense-PR,7.802,7.802,100,"R$ -4.663,10","R$ 141.227,00"
Botafogo-RJ,2,2,São Paulo-SP,18.403,18.975,97,"R$ -23.831,72","R$ 285.760,00"
Atlético Mineiro-MG,5,2,Sport-PE,20.12,20.164,100,"R$ 179.471,98","R$ 252.708,00"
Palmeiras-SP,3,1,Cruzeiro-MG,32.44,32.44,100,"R$ 646.189,91","R$ 1.260.130,00"
Bahia-BA,0,0,Flamengo-RJ,31.059,31.631,98,"R$ 813.436,84","R$ 1.171.225,00"
América Mineiro-MG,0,0,Corinthians-SP,6.617,8.635,77,"R$ -20.946,55","R$ 99.755,00"
Fluminense-RJ,0,1,Grêmio-RS,7.922,8.595,92,"R$ -287.493,46","R$ 152.190,00"
Cruzeiro-MG,0,2,Ceará-CE,12.058,12.249,98,"R$ -27.342,08","R$ 204.315,00"
Botafogo-RJ,1,1,Vasco-RJ,9.357,10.009,94,"R$ -90.927,93","R$ 179.210,00"
Fluminense-RJ,4,0,Paraná-PR,6.223,7.594,82,"R$ -329.090,89","R$ 128.405,00"
Grêmio-RS,2,2,Bahia-BA,29.612,29.612,100,"R$ 817.948,26","R$ 992.980,00"
São Paulo-SP,0,2,Palmeiras-SP,56.694,60.463,94,"R$ 2.370.144,22","R$ 2.959.044,00"
Chapecoense-SC,1,0,Atlético Mineiro-MG,9.484,9.484,100,"R$ 124.416,93","R$ 198.705,00"
Athletico Paranaense-PR,4,0,América Mineiro-MG,6.817,6.817,100,"R$ -58.351,27","R$ 116.800,00"
Vitória-BA,0,1,Santos-SP,7.478,8.932,84,"R$ -1.342,48","R$ 57.716,00"
Corinthians-SP,0,3,Flamengo-RJ,41.693,41.693,100,"R$ 837.601,73","R$ 1.381.719,00"
Sport-PE,2,1,Internacional-RS,4.975,4.975,100,"R$ -484,10","R$ 52.510,00"
Ceará-CE,0,0,Botafogo-RJ,29.394,29.952,98,"R$ 196.951,08","R$ 402.313,00"
Athletico Paranaense-PR,4,0,Sport-PE,9.139,9.139,100,"R$ 6.421,03","R$ 196.235,00"
Atlético Mineiro-MG,0,0,América Mineiro-MG,19.362,20.389,95,"R$ 110.791,06","R$ 181.204,00"
Palmeiras-SP,2,0,Grêmio-RS,32.915,32.915,100,"R$ 624.025,78","R$ 1.254.125,00"
Internacional-RS,3,1,São Paulo-SP,40.525,40.525,100,"R$ 1.009.337,92","R$ 1.307.521,00"
Vasco-RJ,2,0,Cruzeiro-MG,10.841,11.962,91,"R$ -645,00","R$ 249.945,00"
Chapecoense-SC,0,1,Vitória-BA,5.717,5.717,100,"R$ 54.194,41","R$ 116.000,00"
Bahia-BA,2,0,Paraná-PR,29.215,30.156,97,"R$ 10.636,58","R$ 256.229,00"
Santos-SP,1,0,Corinthians-SP,24.123,24.123,100,"R$ 367.843,49","R$ 778.974,00"
Flamengo-RJ,3,0,Fluminense-RJ,48.894,49.591,99,"R$ 30.355,52","R$ 1.140.402,00"
Internacional-RS,2,2,Santos-SP,37.523,37.523,100,"R$ 763.754,86","R$ 1.082.715,00"
Paraná-PR,0,4,Flamengo-RJ,4.271,4.271,100,"R$ 161.185,50","R$ 269.185,00"
Cruzeiro-MG,3,0,Chapecoense-SC,8.251,9.654,86,"R$ -123.521,55","R$ 163.169,00"
Palmeiras-SP,2,1,Ceará-CE,33.355,33.355,100,"R$ 559.266,15","R$ 1.178.690,00"
Fluminense-RJ,1,0,Atlético Mineiro-MG,4.404,5.247,84,"R$ -369.732,90","R$ 81.545,00"
Vitória-BA,2,2,Corinthians-SP,17.982,19.962,90,"R$ 87.013,04","R$ 188.987,00"
Sport-PE,2,1,Vasco-RJ,8.035,8.035,100,"R$ 20.008,83","R$ 86.355,00"
São Paulo-SP,0,0,Athletico Paranaense-PR,13.053,18.538,70,"R$ 242.761,44","R$ 495.527,00"
Botafogo-RJ,0,1,Bahia-BA,7.147,7.834,91,"R$ -142.424,35","R$ 107.695,00"
América Mineiro-MG,1,1,Grêmio-RS,4.511,6.625,68,"R$ -70.110,07","R$ 45.085,00"
Ceará-CE,2,1,Atlético Mineiro-MG,36.627,36.627,100,"R$ 227.489,84","R$ 477.896,00"
Athletico Paranaense-PR,2,1,Botafogo-RJ,7.133,7.133,100,"R$ -47.937,42","R$ 132.970,00"
Cruzeiro-MG,3,1,Paraná-PR,6.377,6.505,98,"R$ -176.823,82","R$ 104.923,00"
Corinthians-SP,2,1,Bahia-BA,35.382,35.382,100,"R$ 635.010,22","R$ 1.116.596,50"
Flamengo-RJ,1,1,Palmeiras-SP,58.613,58.886,100,"R$ 249.948,93","R$ 1.452.823,00"
Chapecoense-SC,1,0,América Mineiro-MG,12.638,12.638,100,"R$ 139.100,89","R$ 217.270,00"
Grêmio-RS,3,4,Sport-PE,12.165,12.165,100,"R$ 242.745,28","R$ 329.685,00"
Santos-SP,3,0,Fluminense-RJ,8.68,8.68,100,"R$ 23.598,68","R$ 165.563,50"
Vasco-RJ,1,1,Internacional-RS,8.301,9.227,90,"R$ -22.294,50","R$ 262.320,00"
Vitória-BA,0,1,São Paulo-SP,11.283,12.533,90,"R$ 45.451,32","R$ 122.074,00"
Sport-PE,1,0,Ceará-CE,16.203,16.203,100,"R$ 151.547,69","R$ 265.185,00"
Internacional-RS,2,1,Athletico Paranaense-PR,28.332,28.332,100,"R$ 481.537,10","R$ 741.820,00"
Bahia-BA,1,0,Chapecoense-SC,17.448,17.999,97,"R$ 86.371,34","R$ 294.869,00"
São Paulo-SP,2,2,Flamengo-RJ,32.612,36.766,89,"R$ 770.857,53","R$ 1.109.117,00"
Botafogo-RJ,1,0,Corinthians-SP,19.994,20.079,100,"R$ -73.384,57","R$ 195.995,00"
América Mineiro-MG,1,2,Cruzeiro-MG,8.056,8.926,90,"R$ -28.756,81","R$ 98.805,00"
Paraná-PR,1,1,Vitória-BA,931,931,100,"R$ -46.894,03","R$ 15.030,00"
Palmeiras-SP,3,2,Santos-SP,38.938,38.938,100,"R$ 1.940.065,55","R$ 2.723.126,86"
Fluminense-RJ,0,1,Vasco-RJ,12.728,14.235,89,"R$ -165.664,79","R$ 343.255,00"
Atlético Mineiro-MG,0,1,Grêmio-RS,14.873,16.146,92,"R$ 76.347,24","R$ 143.816,00"
Santos-SP,0,1,Chapecoense-SC,10.792,10.792,100,"R$ 13.729,47","R$ 334.014,50"
Fluminense-RJ,0,0,Sport-PE,11.63,12.781,91,"R$ -355.607,24","R$ 85.355,00"
Grêmio-RS,2,1,Vasco-RJ,20.763,20.763,100,"R$ 532.363,49","R$ 666.258,00"
Ceará-CE,1,1,Internacional-RS,42.149,42.149,100,"R$ 420.816,33","R$ 739.883,00"
Vitória-BA,2,2,Bahia-BA,21.714,22.84,95,"R$ 87.154,08","R$ 190.868,00"
Atlético Mineiro-MG,1,1,Palmeiras-SP,18.717,19.897,94,"R$ 138.597,94","R$ 222.650,00"
Botafogo-RJ,2,1,Flamengo-RJ,18.276,18.354,100,"R$ -152.772,60","R$ 169.885,00"
Athletico Paranaense-PR,2,0,Cruzeiro-MG,7.72,7.72,100,"R$ -9.382,23","R$ 174.170,00"
Corinthians-SP,1,1,São Paulo-SP,42.845,42.845,100,"R$ 1.286.323,11","R$ 1.911.492,99"
América Mineiro-MG,0,1,Paraná-PR,3.692,4.966,74,"R$ -76.621,71","R$ 31.835,00"
Internacional-RS,2,0,América Mineiro-MG,25.654,25.654,100,"R$ 408.999,27","R$ 654.065,00"
São Paulo-SP,1,1,Grêmio-RS,24.757,29.268,85,"R$ 460.862,60","R$ 759.161,00"
Flamengo-RJ,1,0,Santos-SP,43.547,44.508,98,"R$ 78.113,71","R$ 1.136.024,00"
Chapecoense-SC,0,1,Botafogo-RJ,16.593,16.593,100,"R$ 173.828,04","R$ 255.850,00"
Palmeiras-SP,3,0,Fluminense-RJ,37.43,37.43,100,"R$ 1.735.919,49","R$ 2.480.931,96"
Sport-PE,0,0,Vitória-BA,14.475,14.475,100,"R$ 107.952,69","R$ 214.425,00"
Cruzeiro-MG,1,0,Corinthians-SP,8.151,8.464,96,"R$ -143.594,74","R$ 128.669,00"
Bahia-BA,2,1,Ceará-CE,17.825,18.154,98,"R$ 133.990,95","R$ 328.821,00"
Paraná-PR,0,1,Atlético Mineiro-MG,1.14,1.14,100,"R$ -36.814,80","R$ 22.940,00"
Vasco-RJ,1,1,Athletico Paranaense-PR,20.212,21.331,95,"R$ 38.362,76","R$ 306.340,00"
Fluminense-RJ,0,0,Ceará-CE,5.945,7.247,82,"R$ -337.288,49","R$ 105.015,00"
Grêmio-RS,2,0,Chapecoense-SC,13.266,13.266,100,"R$ 299.427,62","R$ 394.042,00"
São Paulo-SP,1,0,Cruzeiro-MG,14.058,19.378,73,"R$ 133.651,46","R$ 380.708,00"
Sport-PE,0,1,Flamengo-RJ,18.548,18.548,100,"R$ 162.933,94","R$ 283.760,00"
Botafogo-RJ,1,0,Internacional-RS,17.373,17.41,100,"R$ -112.528,18","R$ 156.802,50"
América Mineiro-MG,2,1,Santos-SP,3.079,4.334,71,"R$ -73.497,00","R$ 31.955,00"
Paraná-PR,1,1,Palmeiras-SP,25.076,25.076,100,"R$ 1.595.863,70","R$ 1.953.570,00"
Atlético Mineiro-MG,1,0,Bahia-BA,16.001,16.562,97,"R$ 57.649,81","R$ 112.493,00"
Corinthians-SP,1,0,Vasco-RJ,38.605,38.605,100,"R$ 818.014,16","R$ 1.350.667,50"
Vitória-BA,1,2,Athletico Paranaense-PR,8.44,9.626,88,"R$ -3.124,98","R$ 61.140,00"
Ceará-CE,1,0,Paraná-PR,48.077,48.077,100,"R$ 256.521,53","R$ 541.183,00"
Bahia-BA,2,0,Fluminense-RJ,16.437,16.784,98,"R$ 110.473,99","R$ 306.198,00"
Chapecoense-SC,2,1,Sport-PE,11.74,11.74,100,"R$ 117.906,36","R$ 187.190,00"
Vasco-RJ,2,0,São Paulo-SP,14.426,15.405,94,"R$ 56.522,01","R$ 354.345,00"
Palmeiras-SP,4,0,América Mineiro-MG,39.429,39.429,100,"R$ 1.825.880,05","R$ 2.615.582,46"
Flamengo-RJ,2,0,Grêmio-RS,33.932,34.897,97,"R$ -244.099,23","R$ 701.361,00"
Athletico Paranaense-PR,1,0,Corinthians-SP,14.32,14.32,100,"R$ 162.377,31","R$ 422.925,00"
Cruzeiro-MG,3,0,Vitória-BA,1.914,1.916,100,"R$ -230.856,21","R$ 21.781,00"
Santos-SP,1,1,Botafogo-RJ,3.62,3.62,100,"R$ -58.618,76","R$ 64.715,50"
Internacional-RS,1,2,Atlético Mineiro-MG,22.299,22.299,100,"R$ 284.913,70","R$ 510.090,00"
São Paulo-SP,0,0,Sport-PE,15.235,19.75,77,"R$ 199.006,52","R$ 454.321,00"
Botafogo-RJ,2,1,Paraná-PR,27.66,27.662,100,"R$ 1.605,62","R$ 301.970,00"
América Mineiro-MG,1,0,Bahia-BA,3.747,5.309,71,"R$ -83.563,29","R$ 19.635,00"
Internacional-RS,2,0,Fluminense-RJ,27.535,27.535,100,"R$ 407.149,97","R$ 656.330,00"
Corinthians-SP,0,0,Chapecoense-SC,35.888,35.888,100,"R$ 706.255,08","R$ 1.219.472,00"
Vasco-RJ,0,1,Palmeiras-SP,21.066,21.957,96,"R$ 266.616,86","R$ 596.810,00"
Vitória-BA,0,0,Grêmio-RS,3.614,4.283,84,"R$ -36.743,26","R$ 18.835,00"
Athletico Paranaense-PR,2,2,Ceará-CE,9.632,9.632,100,"R$ -9.607,71","R$ 191.850,00"
Cruzeiro-MG,0,2,Flamengo-RJ,17.445,19.198,91,"R$ 75.274,33","R$ 343.624,00"
Santos-SP,3,2,Atlético Mineiro-MG,4.591,4.591,100,"R$ -36.594,61","R$ 89.946,50"
Grêmio-RS,1,0,Corinthians-SP,38.974,38.974,100,"R$ 1.211.636,74","R$ 1.450.578,00"
Palmeiras-SP,3,2,Vitória-BA,41.256,41.256,100,"R$ 2.475.565,68","R$ 3.514.618,30"
Sport-PE,2,1,Santos-SP,15.214,15.214,100,"R$ 111.143,93","R$ 225.305,00"
Ceará-CE,0,0,Vasco-RJ,57.223,57.223,100,"R$ 680.577,40","R$ 1.128.494,00"
Fluminense-RJ,1,0,América Mineiro-MG,34.87,35.907,97,"R$ -362.659,06","R$ 139.932,50"
Bahia-BA,0,0,Cruzeiro-MG,27.776,28.525,97,"R$ 73.190,13","R$ 338.691,00"
Chapecoense-SC,1,0,São Paulo-SP,19.226,19.226,100,"R$ 229.253,78","R$ 331.630,00"
Paraná-PR,1,1,Internacional-RS,2.228,2.228,100,"R$ 20.473,56","R$ 88.495,00"
Flamengo-RJ,1,2,Athletico Paranaense-PR,62.994,62.994,100,"R$ -319.864,61","R$ 697.255,00"
Atlético Mineiro-MG,1,0,Botafogo-RJ,19.171,19.171,100,"R$ 210.595,22","R$ 313.452,00"
