#casa,#gols_c,#gols_v,#visitante,#pp,#iv,#iv%,#renda_L,#renda_B
Palmeiras-SP,3,0,Bahia-BA,26.351,26.351,100,"R$ 825.855,53","R$ 1.517.906,22"
Flamengo-RJ,1,1,Vasco-RJ,32.536,33.291,98,"R$ -53.053,18","R$ 1.103.010,00"
Atlético Mineiro-MG,1,0,Cruzeiro-MG,14.595,16.341,89,"R$ 486.218,99","R$ 629.360,00"
Ceará-CE,0,1,Grêmio-RS,14.012,14.76,95,"R$ 5.296,62","R$ 128.138,00"
América Mineiro-MG,1,3,São Paulo-SP,3.883,7.883,49,"R$ -51.795,88","R$ 64.570,00"
Internacional-RS,2,1,Corinthians-SP,27.65,27.65,100,"R$ 533.686,00","R$ 795.765,00"
Santos-SP,0,1,Cruzeiro-MG,8.504,8.504,100,"R$ 17.186,67","R$ 349.730,00"
Botafogo-RJ,1,1,Vitória-BA,4.759,5.344,89,"R$ -260.922,83","R$ 129.145,00"
Bahia-BA,3,0,Vasco-RJ,15.031,15.297,98,"R$ 103.668,25","R$ 292.051,00"
Paraná-PR,0,0,Athletico Paranaense-PR,6.446,6.446,100,"R$ 33.185,81","R$ 146.405,00"
Atlético Mineiro-MG,0,1,Flamengo-RJ,14.84,16.151,92,"R$ 409.241,44","R$ 561.325,00"
Palmeiras-SP,2,3,Sport-PE,25.947,25.947,100,"R$ 872.536,18","R$ 1.506.726,18"
Fluminense-RJ,3,1,Chapecoense-SC,13.165,14.452,91,"R$ -109.610,77","R$ 395.375,00"
Athletico Paranaense-PR,2,0,Santos-SP,8.204,8.204,100,"R$ -1.581,69","R$ 181.655,00"
Corinthians-SP,1,0,América Mineiro-MG,34.921,34.921,100,"R$ 1.247.787,48","R$ 1.815.526,96"
Flamengo-RJ,2,0,Bahia-BA,50.141,50.86,99,"R$ 492.014,35","R$ 1.780.859,00"
Grêmio-RS,0,0,Fluminense-RJ,18.194,18.194,100,"R$ 381.220,11","R$ 510.968,00"
Cruzeiro-MG,1,0,Palmeiras-SP,16.125,16.19,100,"R$ 231.233,31","R$ 365.112,00"
São Paulo-SP,3,2,Botafogo-RJ,25.427,29.001,88,"R$ 309.919,35","R$ 547.988,00"
Chapecoense-SC,2,0,Ceará-CE,6.464,6.464,100,"R$ 73.345,50","R$ 132.850,00"
Sport-PE,3,2,Atlético Mineiro-MG,11.609,11.609,100,"R$ 138.970,75","R$ 241.945,00"
Vasco-RJ,1,0,Paraná-PR,4.221,5.234,81,"R$ -84.700,80","R$ 101.875,00"
Vitória-BA,2,3,Internacional-RS,5.591,6.763,83,"R$ -3.721,40","R$ 52.101,00"
Paraná-PR,2,1,Fluminense-RJ,3.491,3.491,100,"R$ -23.050,85","R$ 69.525,00"
Ceará-CE,0,1,Cruzeiro-MG,14.522,15.27,95,"R$ -42.545,23","R$ 71.385,00"
Santos-SP,5,2,Vitória-BA,3.887,3.887,100,"R$ -40.281,92","R$ 82.830,00"
Flamengo-RJ,1,0,Corinthians-SP,44.075,44.951,98,"R$ 653.491,14","R$ 2.033.277,00"
Bahia-BA,0,2,Grêmio-RS,15.623,16.158,97,"R$ 105.379,92","R$ 285.457,50"
América Mineiro-MG,3,1,Athletico Paranaense-PR,3.272,6.497,50,"R$ -74.525,78","R$ 32.230,00"
Palmeiras-SP,3,1,São Paulo-SP,32.841,32.841,100,"R$ 1.419.551,90","R$ 2.172.298,88"
Vasco-RJ,1,2,Botafogo-RJ,8.592,9.477,91,"R$ -2.464,97","R$ 236.400,00"
Internacional-RS,0,0,Sport-PE,27.454,27.454,100,"R$ 564.693,69","R$ 822.680,00"
Atlético Mineiro-MG,3,3,Chapecoense-SC,9.426,11.043,85,"R$ 100.175,38","R$ 173.475,00"
